时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-231725,6,X,-000005.0
20250120-231725,6,Z,-000002.9
20250120-231725,7,X,+000007.3
20250120-231725,7,Y,+000004.8
20250120-231725,8,X,+000004.6
20250120-231725,8,Y,-000004.4
20250120-231725,8,Z,+000003.0
20250120-231725,10,X,+000002.5
20250120-231725,11,X,+000002.6
20250120-231725,11,Y,+000003.0
20250120-231725,13,Z,+000004.9
20250120-231725,14,X,+000003.0
20250120-231725,15,X,-000003.6
20250120-231725,15,Z,+000004.1
20250120-231726,0,X,+000003.2
20250120-231726,0,Z,+000004.7
20250120-231726,1,X,-000003.3
20250120-231726,1,Y,-000005.0
20250120-231726,1,Z,+000006.8
20250120-231726,2,Z,-000003.6
20250120-231726,3,X,-000004.7
20250120-231726,3,Y,+000003.3
20250120-231726,3,Z,-000004.1
20250120-231726,5,Y,-000003.4
20250120-231726,5,Z,+000006.9
20250120-231726,6,X,-000004.6
20250120-231726,6,Y,-000002.8
20250120-231726,6,Z,-000005.6
20250120-231726,7,Z,+000003.5
20250120-231726,8,X,+000002.6
20250120-231726,8,Z,+000003.4
20250120-231726,11,X,+000002.6
20250120-231726,11,Y,-000003.2
20250120-231726,12,X,+000002.8
20250120-231726,13,X,-000002.7
20250120-231726,13,Z,-000004.0
20250120-231726,14,X,+000002.6
20250120-231726,14,Y,+000002.5
20250120-231726,14,Z,+000004.1
20250120-231726,15,Z,+000003.7
20250120-231727,0,Z,-000003.1
20250120-231727,1,X,+000003.7
20250120-231727,2,X,-000004.1
20250120-231727,2,Y,+000005.3
20250120-231727,2,Z,-000006.4
20250120-231727,3,Y,-000004.8
20250120-231727,3,Z,+000003.2
20250120-231727,4,X,-000005.5
20250120-231727,4,Y,+000004.0
20250120-231727,5,X,+000006.4
20250120-231727,6,X,+000003.5
20250120-231727,7,X,+000007.6
20250120-231727,7,Y,+000002.9
20250120-231727,8,X,+000002.6
20250120-231727,8,Y,-000003.3
20250120-231727,9,X,+000005.5
20250120-231727,10,Z,-000003.3
20250120-231727,12,X,-000003.0
20250120-231727,14,X,-000005.9
20250120-231727,14,Y,-000002.9
20250120-231727,14,Z,+000002.5
20250120-231727,15,X,-000003.2
20250120-231728,0,Z,+000005.5
20250120-231728,4,Y,-000005.7
20250120-231728,4,Z,-000004.6
20250120-231728,5,X,-000004.9
20250120-231728,5,Y,+000005.2
20250120-231728,5,Z,-000007.4
20250120-231728,6,X,+000002.7
20250120-231728,8,X,+000002.6
20250120-231728,9,X,-000003.9
20250120-231728,9,Y,-000002.8
20250120-231728,10,Y,-000002.6
20250120-231728,10,Z,-000005.2
20250120-231728,11,Y,+000005.7
20250120-231728,11,Z,-000005.5
20250120-231728,12,X,-000007.3
20250120-231728,12,Y,-000005.0
20250120-231728,13,X,+000003.9
20250120-231729,0,Z,+000004.3
20250120-231729,2,X,+000002.5
20250120-231729,2,Z,+000002.6
20250120-231729,3,Z,-000002.6
20250120-231729,4,X,-000003.2
20250120-231729,5,X,+000003.3
20250120-231729,5,Z,+000006.5
20250120-231729,6,X,-000007.0
20250120-231729,7,X,-000004.0
20250120-231729,7,Z,-000005.4
20250120-231729,8,Z,+000002.6
20250120-231729,9,X,-000003.9
20250120-231729,9,Y,+000005.4
20250120-231729,10,Y,-000003.0
20250120-231729,11,Z,-000004.7
20250120-231729,12,Z,-000006.3
20250120-231729,13,Z,+000003.0
20250120-231729,15,X,+000003.0
20250120-231729,15,Z,-000002.9
20250120-231730,0,X,-000003.0
20250120-231730,0,Y,+000004.0
20250120-231730,0,Z,-000004.6
20250120-231730,1,Z,-000005.2
20250120-231730,2,X,+000002.9
20250120-231730,2,Y,-000003.2
20250120-231730,4,X,-000002.8
20250120-231730,4,Z,+000003.1
20250120-231730,5,X,+000006.7
20250120-231730,6,X,-000004.6
20250120-231730,6,Z,-000008.3
20250120-231730,7,X,+000004.5
20250120-231730,8,Y,-000003.3
20250120-231730,8,Z,-000007.5
20250120-231730,9,Y,-000002.8
20250120-231730,9,Z,-000003.4
20250120-231730,10,X,-000004.1
20250120-231730,11,X,+000004.9
20250120-231730,12,X,+000003.9
20250120-231730,12,Z,-000005.5
20250120-231730,13,Y,-000004.7
20250120-231730,13,Z,-000003.6
20250120-231730,14,Z,+000003.7
20250120-231730,15,X,-000002.8
20250120-231730,15,Y,-000002.7
20250120-231730,15,Z,+000003.7
20250120-231731,1,X,+000003.3
20250120-231731,1,Y,+000003.6
20250120-231731,1,Z,-000004.1
20250120-231731,2,X,+000004.9
20250120-231731,2,Z,-000003.6
20250120-231731,4,Y,+000006.4
20250120-231731,4,Z,-000003.5
20250120-231731,5,Y,+000005.6
20250120-231731,5,Z,-000003.6
20250120-231731,6,X,+000003.1
20250120-231731,9,Y,-000005.1
20250120-231731,9,Z,-000003.0
20250120-231731,10,X,+000006.0
20250120-231731,10,Z,+000002.9
20250120-231731,11,X,+000004.2
20250120-231731,11,Y,+000007.3
20250120-231731,12,X,+000004.3
20250120-231731,15,Z,-000003.6
20250120-231732,0,X,-000003.0
20250120-231732,1,Y,-000003.0
20250120-231732,1,Z,-000002.5
20250120-231732,2,X,+000007.6
20250120-231732,3,Z,-000003.4
20250120-231732,4,Z,-000003.5
20250120-231732,5,X,+000004.0
20250120-231732,5,Y,-000003.4
20250120-231732,6,X,+000005.9
20250120-231732,8,Y,+000005.3
20250120-231732,9,X,+000004.7
20250120-231732,9,Z,+000003.6
20250120-231732,11,Y,+000010.0
20250120-231732,13,X,+000003.5
20250120-231732,13,Y,+000003.0
20250120-231732,13,Z,+000003.0
20250120-231732,14,Z,+000008.3
20250120-231733,0,X,+000002.8
20250120-231733,0,Z,-000006.2
20250120-231733,2,X,+000002.5
20250120-231733,2,Y,+000008.0
20250120-231733,4,Y,-000004.5
20250120-231733,5,Z,+000002.7
20250120-231733,6,X,-000002.7
20250120-231733,7,Y,-000002.6
20250120-231733,7,Z,+000003.5
20250120-231733,8,X,+000003.4
20250120-231733,10,Y,-000002.6
20250120-231733,11,X,-000004.0
20250120-231733,11,Y,+000004.2
20250120-231733,11,Z,+000003.1
20250120-231733,12,Z,+000005.3
20250120-231733,15,X,-000003.6
20250120-231733,15,Z,+000007.2
20250120-231735,0,Y,-000002.6
20250120-231735,0,Z,+000004.3
20250120-231735,2,X,+000002.5
20250120-231735,2,Y,+000003.4
20250120-231735,2,Z,+000004.1
20250120-231735,3,X,+000003.0
20250120-231735,4,X,+000003.8
20250120-231735,5,X,-000003.7
20250120-231735,5,Y,+000003.2
20250120-231735,6,Y,+000002.6
20250120-231735,6,Z,-000005.2
20250120-231735,8,X,+000004.6
20250120-231735,8,Z,+000003.4
20250120-231735,11,Z,-000003.5
20250120-231735,12,X,-000004.6
20250120-231735,12,Z,+000003.4
20250120-231735,14,X,+000003.0
20250120-231736,0,X,+000002.8
20250120-231736,0,Z,-000003.8
20250120-231736,1,X,+000004.1
20250120-231736,1,Z,-000002.9
20250120-231736,2,Z,-000003.3
20250120-231736,3,Y,-000004.4
20250120-231736,4,X,-000002.8
20250120-231736,4,Y,+000006.0
20250120-231736,4,Z,-000004.3
20250120-231736,7,Z,+000005.0
20250120-231736,8,X,-000004.4
20250120-231736,8,Y,-000004.8
20250120-231736,9,X,-000003.9
20250120-231736,9,Z,+000003.2
20250120-231736,10,Y,+000003.6
20250120-231736,10,Z,+000004.5
20250120-231736,11,X,+000003.8
20250120-231736,12,Y,+000003.9
20250120-231736,13,Z,+000003.8
20250120-231736,14,X,-000007.1
20250120-231736,14,Y,+000006.0
20250120-231736,15,X,-000003.2
20250120-231737,1,X,+000004.9
20250120-231737,1,Y,-000007.3
20250120-231737,1,Z,-000003.7
20250120-231737,2,X,-000006.4
20250120-231737,2,Y,-000004.0
20250120-231737,2,Z,-000003.6
20250120-231737,3,Y,+000002.6
20250120-231737,3,Z,-000006.1
20250120-231737,4,X,+000003.0
20250120-231737,4,Y,-000006.8
20250120-231737,5,X,-000004.1
20250120-231737,5,Z,-000004.7
20250120-231737,7,X,-000002.8
20250120-231737,7,Z,-000008.5
20250120-231737,8,X,+000007.7
20250120-231737,9,X,+000002.7
20250120-231737,12,X,+000003.2
20250120-231737,12,Y,+000005.5
20250120-231737,13,X,-000003.5
20250120-231737,13,Y,+000003.8
20250120-231737,15,X,-000004.3
20250120-231737,15,Y,+000003.1
20250120-231738,0,X,-000002.6
20250120-231738,0,Y,-000007.3
20250120-231738,1,X,-000002.9
20250120-231738,3,Z,-000003.7
20250120-231738,4,X,-000005.1
20250120-231738,4,Z,+000003.9
20250120-231738,6,X,-000004.2
20250120-231738,7,Y,-000004.1
20250120-231738,8,X,+000003.4
20250120-231738,9,Z,-000003.8
20250120-231738,12,Y,-000003.8
20250120-231738,12,Z,+000003.4
20250120-231738,14,Z,-000003.3
20250120-231739,0,Z,+000003.1
20250120-231739,1,Z,-000004.5
20250120-231739,2,X,+000003.7
20250120-231739,2,Z,+000003.7
20250120-231739,4,X,+000002.7
20250120-231739,5,Y,-000002.6
20250120-231739,7,Y,+000005.6
20250120-231739,7,Z,-000003.1
20250120-231739,8,X,+000002.6
20250120-231739,9,X,-000003.9
20250120-231739,10,X,+000006.0
20250120-231739,11,X,-000004.4
20250120-231739,12,Y,-000002.7
20250120-231739,13,X,-000003.5
20250120-231739,13,Z,+000002.6
20250120-231739,14,X,+000003.0
20250120-231739,14,Y,-000003.7
20250120-231739,15,X,+000006.5
20250120-231739,15,Z,-000003.6
20250120-231740,0,Y,-000004.6
20250120-231740,0,Z,-000003.1
20250120-231740,1,Y,-000003.0
20250120-231740,1,Z,-000007.9
20250120-231740,2,Z,-000004.0
20250120-231740,3,Z,+000004.0
20250120-231740,4,Z,-000003.9
20250120-231740,6,X,-000003.8
20250120-231740,6,Y,+000002.6
20250120-231740,6,Z,+000002.5
20250120-231740,7,X,-000003.2
20250120-231740,8,Y,+000003.3
20250120-231740,9,Y,-000003.2
20250120-231740,10,X,+000003.3
20250120-231740,11,Y,-000004.3
20250120-231740,11,Z,-000003.5
20250120-231740,12,Y,-000003.1
20250120-231740,12,Z,-000003.6
20250120-231740,13,Z,-000002.8
20250120-231740,14,Y,+000002.9
20250120-231740,14,Z,+000005.6
20250120-231740,15,Z,+000004.1
20250120-231741,0,X,+000009.0
20250120-231741,0,Y,+000004.0
20250120-231741,0,Z,-000004.6
20250120-231741,1,Z,+000003.3
20250120-231741,2,X,+000003.7
20250120-231741,2,Y,+000002.6
20250120-231741,4,Y,-000002.9
20250120-231741,5,Y,-000006.5
20250120-231741,5,Z,+000004.6
20250120-231741,7,X,+000003.0
20250120-231741,7,Y,-000002.6
20250120-231741,8,X,+000006.1
20250120-231741,8,Y,-000004.4
20250120-231741,8,Z,+000004.2
20250120-231741,9,Y,-000004.3
20250120-231741,11,X,-000003.6
20250120-231741,11,Z,+000004.2
20250120-231741,12,X,+000007.8
20250120-231741,12,Z,-000007.9
20250120-231741,15,X,-000004.3
20250120-231743,3,Y,-000002.9
20250120-231743,4,Z,+000005.8
20250120-231743,5,X,+000004.4
20250120-231743,5,Z,-000003.2
20250120-231743,6,Y,+000003.4
20250120-231743,8,X,-000003.2
20250120-231743,8,Y,-000006.0
20250120-231743,8,Z,+000006.1
20250120-231743,9,X,+000005.5
20250120-231743,9,Y,-000002.8
20250120-231743,10,X,+000004.9
20250120-231743,10,Z,-000002.9
20250120-231743,12,X,-000008.9
20250120-231743,12,Y,-000002.7
20250120-231743,12,Z,+000004.5
20250120-231743,13,Y,-000003.6
20250120-231743,13,Z,+000004.2
20250120-231743,15,X,+000004.2
20250120-231743,15,Z,+000003.7
20250120-231744,0,X,+000003.2
20250120-231744,1,X,+000003.3
20250120-231744,1,Y,-000003.0
20250120-231744,2,Z,-000004.8
20250120-231744,3,X,-000002.8
20250120-231744,3,Y,-000003.3
20250120-231744,4,X,-000003.9
20250120-231744,4,Y,-000006.8
20250120-231744,4,Z,+000003.5
20250120-231744,5,Z,-000004.7
20250120-231744,7,Z,-000003.9
20250120-231744,8,Z,+000005.7
20250120-231744,9,Y,-000007.0
20250120-231744,10,Y,-000004.1
20250120-231744,11,Z,-000004.3
20250120-231744,12,X,+000005.5
20250120-231744,13,X,+000003.9
20250120-231744,14,X,+000002.6
20250120-231744,15,X,-000003.9
20250120-231744,15,Z,-000003.2
20250120-231745,0,X,-000002.6
20250120-231745,0,Y,+000004.7
20250120-231745,2,X,+000002.5
20250120-231745,2,Z,-000002.9
20250120-231745,3,X,-000004.0
20250120-231745,3,Y,+000003.7
20250120-231745,3,Z,+000004.4
20250120-231745,4,Y,+000006.0
20250120-231745,4,Z,-000009.7
20250120-231745,5,X,+000004.0
20250120-231745,6,Y,+000003.0
20250120-231745,7,X,-000004.0
20250120-231745,7,Y,-000004.1
20250120-231745,8,Y,-000003.3
20250120-231745,9,Z,+000002.8
20250120-231745,12,X,-000004.2
20250120-231745,12,Y,+000006.6
20250120-231745,12,Z,-000005.5
20250120-231745,13,X,-000004.2
20250120-231745,13,Y,-000003.2
20250120-231746,0,Y,-000003.4
20250120-231746,2,Z,-000003.6
20250120-231746,3,X,-000004.0
20250120-231746,4,X,+000002.7
20250120-231746,4,Z,-000002.7
20250120-231746,5,Z,-000003.6
20250120-231746,7,Z,-000005.4
20250120-231746,10,X,+000004.9
20250120-231746,11,X,+000005.3
20250120-231746,12,X,-000002.7
20250120-231746,12,Z,+000004.2
20250120-231746,13,Z,-000011.8
20250120-231746,15,Y,-000005.4
20250120-231747,0,X,-000005.0
20250120-231747,1,X,-000005.6
20250120-231747,1,Y,+000003.9
20250120-231747,1,Z,-000002.5
20250120-231747,2,X,-000002.9
20250120-231747,2,Y,+000003.0
20250120-231747,4,Z,-000003.1
20250120-231747,5,X,-000003.3
20250120-231747,5,Y,-000007.3
20250120-231747,6,X,-000002.7
20250120-231747,8,X,-000002.8
20250120-231747,9,Y,-000003.2
20250120-231747,10,Y,+000003.6
20250120-231747,11,X,-000005.1
20250120-231747,11,Z,+000003.4
20250120-231747,13,X,-000002.7
20250120-231747,13,Z,-000002.8
20250120-231747,14,Y,-000006.8
20250120-231747,14,Z,+000003.3
20250120-231747,15,X,-000004.7
20250120-231747,15,Y,-000004.7
20250120-231748,0,X,+000005.5
20250120-231748,0,Z,-000004.2
20250120-231748,1,X,-000003.3
20250120-231748,2,X,+000003.3
20250120-231748,2,Y,+000003.4
20250120-231748,3,Z,+000004.0
20250120-231748,4,X,-000007.8
20250120-231748,4,Y,+000003.6
20250120-231748,4,Z,-000003.1
20250120-231748,5,Z,+000004.2
20250120-231748,7,X,+000005.7
20250120-231748,7,Y,+000003.3
20250120-231748,8,Y,-000005.6
20250120-231748,8,Z,-000002.8
20250120-231748,9,X,-000007.0
20250120-231748,9,Z,+000005.5
20250120-231748,10,X,+000002.9
20250120-231748,10,Y,-000006.8
20250120-231748,11,X,-000003.6
20250120-231748,12,Y,+000003.1
20250120-231748,12,Z,+000004.9
20250120-231748,13,Y,-000005.5
20250120-231748,13,Z,-000004.0
20250120-231748,14,Y,-000003.7
20250120-231749,1,Y,-000003.0
20250120-231749,2,X,-000006.0
20250120-231749,2,Y,-000003.6
20250120-231749,3,X,-000003.6
20250120-231749,3,Z,+000005.2
20250120-231749,4,Y,-000004.5
20250120-231749,5,X,-000002.6
20250120-231749,6,Y,+000002.6
20250120-231749,6,Z,+000002.5
20250120-231749,7,Y,+000003.3
20250120-231749,8,X,-000004.8
20250120-231749,8,Y,-000005.6
20250120-231749,8,Z,+000002.6
20250120-231749,10,X,-000003.7
20250120-231749,10,Y,+000002.9
20250120-231749,10,Z,+000002.9
20250120-231749,12,Y,-000004.2
20250120-231749,13,Y,+000003.0
20250120-231749,15,X,+000003.4
20250120-231750,0,X,+000008.2
20250120-231750,1,X,-000004.1
20250120-231750,1,Y,-000004.6
20250120-231750,3,X,+000003.4
20250120-231750,3,Z,-000004.9
20250120-231750,4,Y,-000002.9
20250120-231750,5,X,+000005.2
20250120-231750,5,Z,+000007.7
20250120-231750,6,Z,+000002.5
20250120-231750,7,X,-000002.8
20250120-231750,7,Z,+000003.1
20250120-231750,8,Y,+000008.8
20250120-231750,8,Z,-000002.8
20250120-231750,9,Y,-000003.9
20250120-231750,10,X,-000002.9
20250120-231750,10,Z,+000002.9
20250120-231750,11,X,-000003.6
20250120-231750,11,Y,+000003.0
20250120-231750,12,X,-000005.0
20250120-231750,13,X,+000005.9
20250120-231750,14,Y,+000002.9
20250120-231750,15,X,-000003.2
20250120-231751,0,Z,-000005.4
20250120-231751,1,Z,-000002.5
20250120-231751,2,X,+000005.3
20250120-231751,3,Z,-000004.5
20250120-231751,4,Z,-000007.0
20250120-231751,5,Y,+000003.2
20250120-231751,5,Z,-000009.0
20250120-231751,6,X,+000002.7
20250120-231751,6,Y,+000002.6
20250120-231751,6,Z,-000008.3
20250120-231751,7,Y,+000002.9
20250120-231751,9,Z,+000002.8
20250120-231751,10,X,+000003.7
20250120-231751,10,Z,-000002.5
20250120-231751,11,Y,+000006.9
20250120-231751,14,Y,-000004.1
20250120-231751,15,Z,+000005.7
20250120-231752,0,X,+000003.2
20250120-231752,0,Z,+000002.8
20250120-231752,2,Y,+000003.7
20250120-231752,3,X,-000005.5
20250120-231752,4,X,+000003.0
20250120-231752,4,Y,-000002.9
20250120-231752,6,X,+000002.7
20250120-231752,6,Y,+000002.6
20250120-231752,8,Y,-000003.7
20250120-231752,10,X,-000003.7
20250120-231752,10,Z,-000004.9
20250120-231752,11,Y,+000004.6
20250120-231752,12,X,+000002.8
20250120-231752,12,Z,-000004.0
20250120-231752,13,Y,+000003.8
20250120-231752,13,Z,+000003.0
20250120-231752,14,Z,+000002.5
20250120-231752,15,X,+000003.0
20250120-231752,15,Y,-000004.3
20250120-231752,15,Z,+000004.1
20250120-231753,1,Z,+000003.7
20250120-231753,2,Z,-000002.9
20250120-231753,4,Y,-000005.3
20250120-231753,5,X,+000003.3
20250120-231753,5,Y,-000006.5
20250120-231753,6,Z,-000005.2
20250120-231753,8,Y,+000003.3
20250120-231753,9,X,-000002.7
20250120-231753,9,Z,-000004.5
20250120-231753,12,Z,+000003.0
20250120-231753,14,X,-000003.6
20250120-231753,14,Z,+000004.9
20250120-231753,15,X,-000003.9
20250120-231753,15,Y,+000004.3
20250120-231754,0,X,-000004.2
20250120-231754,0,Y,+000006.7
20250120-231754,1,Z,-000004.5
20250120-231754,2,X,+000003.7
20250120-231754,2,Y,-000004.8
20250120-231754,4,Y,-000003.7
20250120-231754,4,Z,-000004.3
20250120-231754,6,X,-000003.8
20250120-231754,6,Y,+000003.4
20250120-231754,7,Y,+000002.9
20250120-231754,8,Y,+000002.9
20250120-231754,9,Y,-000003.9
20250120-231754,10,X,+000004.9
20250120-231754,11,Z,+000002.7
20250120-231754,14,Z,-000004.9
20250120-231754,15,Y,+000003.1
20250120-231755,0,X,+000004.8
20250120-231755,1,Y,-000003.0
20250120-231755,1,Z,-000002.5
20250120-231755,2,Z,-000006.0
20250120-231755,3,X,+000003.0
20250120-231755,3,Y,-000004.0
20250120-231755,3,Z,+000005.2
20250120-231755,4,X,-000003.6
20250120-231755,4,Y,+000005.2
20250120-231755,4,Z,+000003.1
20250120-231755,5,Z,+000005.4
20250120-231755,6,X,-000003.5
20250120-231755,6,Z,+000003.7
20250120-231755,8,Y,+000004.5
20250120-231755,8,Z,+000004.2
20250120-231755,12,Z,-000003.6
20250120-231755,13,Y,-000003.9
20250120-231755,14,X,+000003.4
20250120-231755,14,Y,+000006.0
20250120-231757,0,X,+000003.6
20250120-231757,2,Z,-000004.8
20250120-231757,3,Y,+000005.3
20250120-231757,4,X,-000004.3
20250120-231757,4,Y,+000003.3
20250120-231757,4,Z,+000005.8
20250120-231757,6,Y,-000004.0
20250120-231757,7,X,-000003.2
20250120-231757,8,Z,+000003.4
20250120-231757,9,Z,+000003.6
20250120-231757,10,Z,+000003.3
20250120-231757,11,X,+000006.9
20250120-231757,11,Y,-000003.2
20250120-231757,12,X,-000004.6
20250120-231757,15,X,-000002.8
20250120-231757,15,Y,-000004.3
20250120-231757,15,Z,+000005.7
20250120-231758,0,X,-000004.2
20250120-231758,0,Y,+000002.8
20250120-231758,1,Z,-000004.5
20250120-231758,2,Y,+000005.7
20250120-231758,4,X,+000005.4
20250120-231758,4,Z,-000003.9
20250120-231758,5,Y,-000003.4
20250120-231758,6,Z,+000003.7
20250120-231758,7,X,-000003.2
20250120-231758,7,Z,+000006.2
20250120-231758,8,Y,-000004.1
20250120-231758,8,Z,+000003.8
20250120-231758,9,Y,-000003.2
20250120-231758,10,X,-000003.3
20250120-231758,10,Y,+000003.6
20250120-231758,11,X,-000006.3
20250120-231758,11,Y,+000002.6
20250120-231758,12,Z,+000004.9
20250120-231758,13,X,-000003.5
20250120-231758,14,X,+000003.0
20250120-231758,14,Y,-000004.5
20250120-231758,15,X,-000004.7
20250120-231758,0,Z,+000008.2
20250120-231758,2,X,+000003.7
20250120-231758,2,Y,+000003.0
20250120-231758,3,Y,+000004.1
20250120-231758,4,X,-000004.7
20250120-231758,4,Z,-000006.2
20250120-231758,5,X,-000004.9
20250120-231758,5,Z,-000004.7
20250120-231758,6,X,-000005.4
20250120-231758,6,Y,+000008.8
20250120-231758,8,Y,+000002.9
20250120-231758,8,Z,-000002.8
20250120-231758,9,Y,-000003.2
20250120-231758,10,X,-000002.9
20250120-231758,11,X,-000002.8
20250120-231758,11,Y,+000008.9
20250120-231758,12,X,-000002.7
20250120-231758,13,Y,+000004.6
20250120-231758,14,X,+000003.0
20250120-231758,14,Z,+000002.5
20250120-231758,15,X,+000003.8
20250120-231759,0,X,-000005.0
20250120-231759,0,Y,+000003.2
20250120-231759,1,Y,-000006.1
20250120-231759,2,Z,+000003.3
20250120-231759,3,Z,-000005.7
20250120-231759,4,Y,+000006.4
20250120-231759,5,X,-000003.7
20250120-231759,5,Z,+000004.6
20250120-231759,7,X,-000003.2
20250120-231759,8,X,-000003.2
20250120-231759,8,Y,-000002.9
20250120-231759,8,Z,+000004.6
20250120-231759,10,X,-000002.5
20250120-231759,10,Y,+000002.9
20250120-231759,11,Y,-000002.8
20250120-231759,12,X,-000003.8
20250120-231759,12,Y,+000002.8
20250120-231759,12,Z,-000003.6
20250120-231759,14,X,+000006.5
20250120-231759,14,Z,-000004.5
20250120-231759,15,X,+000005.0
20250120-231759,15,Y,+000004.3
20250120-231800,1,Z,-000003.7
20250120-231800,2,X,-000005.6
20250120-231800,3,Z,+000003.2
20250120-231800,4,X,+000002.7
20250120-231800,4,Z,+000005.1
20250120-231800,5,Z,+000004.2
20250120-231800,6,Y,-000004.0
20250120-231800,7,Y,+000007.2
20250120-231800,7,Z,+000006.2
20250120-231800,8,Y,+000002.5
20250120-231800,8,Z,-000002.8
20250120-231800,9,Y,+000002.7
20250120-231800,9,Z,+000005.2
20250120-231800,11,X,-000003.6
20250120-231800,11,Y,-000004.0
20250120-231800,11,Z,-000003.1
20250120-231800,12,X,+000003.9
20250120-231800,12,Y,+000003.5
20250120-231800,12,Z,-000002.8
20250120-231800,14,Z,-000006.0
20250120-231800,15,X,-000003.6
20250120-231800,15,Y,-000006.6
20250120-231800,15,Z,+000002.6
20250120-231801,0,Y,-000005.4
20250120-231801,0,Z,-000004.6
20250120-231801,2,Z,-000007.1
20250120-231801,3,Z,+000002.9
20250120-231801,4,Y,-000002.9
20250120-231801,5,Z,-000004.3
20250120-231801,6,X,-000003.8
20250120-231801,7,Y,-000003.7
20250120-231801,8,Z,-000002.8
20250120-231801,10,X,+000004.5
20250120-231801,10,Y,-000004.9
20250120-231801,10,Z,-000003.7
20250120-231801,11,Y,+000003.4
20250120-231801,13,X,+000004.3
20250120-231801,13,Z,-000004.0
20250120-231801,14,Y,-000003.7
20250120-231801,14,Z,-000003.3
20250120-231801,15,X,+000002.7
20250120-231801,15,Z,+000004.5
20250120-231801,0,X,+000002.8
20250120-231801,0,Y,-000003.8
20250120-231801,0,Z,-000005.8
20250120-231801,1,X,+000002.5
20250120-231801,1,Y,-000003.4
20250120-231801,1,Z,-000004.5
20250120-231801,3,X,-000005.1
20250120-231801,3,Y,-000002.9
20250120-231801,4,Y,-000006.1
20250120-231801,5,X,+000003.6
20250120-231801,5,Y,-000003.8
20250120-231801,6,Y,-000003.6
20250120-231801,6,Z,-000005.2
20250120-231801,7,X,+000006.1
20250120-231801,8,X,-000004.0
20250120-231801,8,Y,+000002.9
20250120-231801,8,Z,-000005.5
20250120-231801,10,Y,-000003.7
20250120-231801,10,Z,-000002.5
20250120-231801,11,Z,-000003.9
20250120-231801,12,Y,+000002.8
20250120-231801,13,Y,-000004.7
20250120-231801,14,X,+000002.6
20250120-231801,14,Z,-000004.5
20250120-231801,15,Z,+000004.1
20250120-231803,0,X,+000003.2
20250120-231803,0,Y,-000006.1
20250120-231803,1,X,-000006.4
20250120-231803,1,Y,-000003.0
20250120-231803,2,X,-000006.4
20250120-231803,3,Y,+000005.7
20250120-231803,3,Z,+000002.9
20250120-231803,4,Z,-000002.7
20250120-231803,5,X,+000006.4
20250120-231803,5,Y,+000004.0
20250120-231803,6,Y,+000003.4
20250120-231803,6,Z,-000003.3
20250120-231803,7,Y,+000004.0
20250120-231803,8,X,-000003.2
20250120-231803,10,X,+000007.6
20250120-231803,11,X,-000004.4
20250120-231803,11,Y,+000003.8
20250120-231803,13,X,+000003.5
20250120-231803,13,Y,-000005.1
20250120-231803,14,X,-000003.6
20250120-231803,15,X,-000002.8
20250120-231803,15,Z,-000003.2
20250120-231805,0,Z,+000002.8
20250120-231805,1,X,-000005.2
20250120-231805,1,Z,-000002.9
20250120-231805,2,Y,-000004.8
20250120-231805,4,Y,+000003.6
20250120-231805,4,Z,-000003.5
20250120-231805,6,X,-000003.8
20250120-231805,6,Y,+000004.9
20250120-231805,7,X,-000006.3
20250120-231805,7,Y,+000003.7
20250120-231805,8,X,+000003.4
20250120-231805,8,Z,-000002.8
20250120-231805,9,Z,+000003.2
20250120-231805,11,X,+000003.0
20250120-231805,11,Y,-000004.7
20250120-231805,12,X,-000003.8
20250120-231805,12,Z,+000004.2
20250120-231805,13,X,+000006.2
20250120-231805,13,Y,-000003.6
20250120-231805,14,Y,-000003.7
20250120-231805,15,Y,-000003.1
20250120-231805,2,X,-000004.4
20250120-231805,3,X,+000003.4
20250120-231805,4,Y,+000006.8
20250120-231805,6,X,-000005.0
20250120-231805,7,Z,+000003.9
20250120-231805,8,Y,-000004.1
20250120-231805,8,Z,-000007.1
20250120-231805,10,X,+000004.1
20250120-231805,10,Y,+000005.2
20250120-231805,10,Z,+000006.0
20250120-231805,11,Y,-000004.3
20250120-231805,12,Y,-000005.0
20250120-231805,13,Y,-000003.9
20250120-231805,14,X,-000002.8
20250120-231807,0,Y,-000002.6
20250120-231807,1,X,+000006.0
20250120-231807,1,Y,-000003.0
20250120-231807,1,Z,-000002.5
20250120-231807,2,Z,-000003.3
20250120-231807,3,Z,-000003.0
20250120-231807,4,Y,-000002.6
20250120-231807,5,Z,+000003.8
20250120-231807,8,Y,+000002.5
20250120-231807,8,Z,+000005.7
20250120-231807,9,Y,+000005.4
20250120-231807,10,Z,-000004.9
20250120-231807,11,X,-000002.8
20250120-231807,11,Z,-000002.8
20250120-231807,15,Z,+000002.6
20250120-231808,0,Y,+000002.8
20250120-231808,0,Z,+000006.2
20250120-231808,1,Z,-000002.9
20250120-231808,2,X,+000003.7
20250120-231808,2,Y,+000002.6
20250120-231808,4,Y,+000008.3
20250120-231808,5,Z,+000003.0
20250120-231808,6,Y,+000004.2
20250120-231808,9,Z,-000003.4
20250120-231808,10,X,-000003.3
20250120-231808,10,Y,-000002.6
20250120-231808,10,Z,+000002.5
20250120-231808,11,X,+000003.0
20250120-231808,11,Y,+000002.6
20250120-231808,13,Z,+000002.6
