时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-233738,2,Y,+7912424.1
20250120-233738,2,Z,+2008311.1
20250120-233738,3,X,-4863393.7
20250120-233738,3,Y,-6950265.5
20250120-233738,3,Z,-6228298.2
20250120-233738,4,X,-3212176.5
20250120-233738,4,Y,+8697361.9
20250120-233738,4,Z,-4006306.0
20250120-233738,5,X,-14634970.5
20250120-233738,5,Y,-5762676.7
20250120-233738,5,Z,-4548167.3
20250120-233738,6,X,-4993730.5
20250120-233738,6,Y,-5509627.3
20250120-233738,6,Z,+000381.6
20250120-233738,7,X,+038251.3
20250120-233738,7,Y,-1319621.2
20250120-233738,7,Z,-7375916.3
20250120-233738,0,X,-8758628.7
20250120-233738,0,Y,-7427835.8
20250120-233738,0,Z,-6784831.1
20250120-233738,1,X,-7929816.1
20250120-233738,1,Y,-6613744.6
20250120-233738,1,Z,-2314871.8
20250120-233738,2,X,-7118133.3
20250120-233738,2,Y,+7960417.5
20250120-233738,2,Z,+1982674.8
20250120-233738,3,X,-4885154.7
20250120-233738,3,Y,-6947284.5
20250120-233738,3,Z,-6194315.3
20250120-233738,4,X,-3204127.9
20250120-233738,4,Y,+8829120.1
20250120-233738,4,Z,-3973515.4
20250120-233738,5,X,-14638547.6
20250120-233738,5,Y,-5793976.8
20250120-233738,5,Z,-4554427.3
20250120-233738,6,X,-5014001.0
20250120-233738,6,Y,-5529301.6
20250120-233738,6,Z,+000382.8
20250120-233738,7,X,+038251.3
20250120-233738,7,Y,-1300841.2
20250120-233738,7,Z,-7389628.7
20250120-233738,0,X,-8751474.4
20250120-233738,0,Y,-7414719.6
20250120-233738,0,Z,-6772907.3
20250120-233738,1,X,-7921767.5
20250120-233738,1,Y,-6606590.3
20250120-233738,1,Z,-2457659.6
20250120-233738,2,X,-7180137.2
20250120-233738,2,Y,+7913318.4
20250120-233738,2,Z,+2034841.6
20250120-233738,3,X,-4846700.4
20250120-233738,3,Y,-6941322.6
20250120-233738,3,Z,-6207729.6
20250120-233738,4,X,-3195483.1
20250120-233738,4,Y,+8814811.6
20250120-233738,4,Z,-3982458.3
20250120-233738,5,X,-14639143.8
20250120-233738,5,Y,-5790995.8
20250120-233738,5,Z,-4605699.8
20250120-233738,6,X,-4991941.9
20250120-233738,6,Y,-5529003.5
20250120-233738,6,Z,+000383.9
20250120-233738,7,X,+038251.3
20250120-233738,7,Y,-1248078.3
20250120-233738,7,Z,-7341933.4
20250120-233739,0,X,-8767869.7
20250120-233739,0,Y,-7416210.1
20250120-233739,0,Z,-6777974.9
20250120-233739,1,X,-7963799.0
20250120-233739,1,Y,-6565751.2
20250120-233739,1,Z,-2416522.4
20250120-233739,2,X,-7158972.4
20250120-233739,2,Y,+7916299.3
20250120-233739,2,Z,+1988040.6
20250120-233739,3,X,-4849085.1
20250120-233739,3,Y,-6911513.0
20250120-233739,3,Z,-6217268.7
20250120-233739,4,X,-3215753.6
20250120-233739,4,Y,+8832697.3
20250120-233739,4,Z,-4003325.0
20250120-233739,5,X,-14670742.0
20250120-233739,5,Y,-5788909.2
20250120-233739,5,Z,-4593776.0
20250120-233739,6,X,-4992836.2
20250120-233739,6,Y,-5537350.2
20250120-233739,6,Z,+000385.1
20250120-233739,7,X,+038251.3
20250120-233739,7,Y,-1180708.7
20250120-233739,7,Z,-7381282.1
20250120-233739,0,X,-8761013.5
20250120-233739,0,Y,-7397430.1
20250120-233739,0,Z,-6776186.4
20250120-233739,1,X,-7975424.8
20250120-233739,1,Y,-6584233.1
20250120-233739,1,Z,-2404300.5
20250120-233739,2,X,-7149135.2
20250120-233739,2,Y,+7880527.9
20250120-233739,2,Z,+2014869.2
20250120-233739,3,X,-4884260.4
20250120-233739,3,Y,-6944601.6
20250120-233739,3,Z,-6233365.9
20250120-233739,4,X,-3187434.5
20250120-233739,4,Y,+8772183.9
20250120-233739,4,Z,-3984843.1
20250120-233739,5,X,-14648086.7
20250120-233739,5,Y,-5789803.4
20250120-233739,5,Z,-4533262.6
20250120-233739,6,X,-5028905.7
20250120-233739,6,Y,-5525128.3
20250120-233739,6,Z,+000386.3
20250120-233739,7,X,+038251.3
20250120-233739,7,Y,-1333929.8
20250120-233739,7,Z,-7361607.7
20250120-233739,0,X,-8670988.6
20250120-233739,0,Y,-7427239.6
20250120-233739,0,Z,-6794370.2
20250120-233739,1,X,-7936374.2
20250120-233739,1,Y,-6558895.0
20250120-233739,1,Z,-2421590.0
20250120-233739,2,X,-7154202.9
20250120-233739,2,Y,+7923751.7
20250120-233739,2,Z,+2025600.6
20250120-233739,3,X,-4913473.8
20250120-233739,3,Y,-6915686.4
20250120-233739,3,Z,-6214585.8
20250120-233739,4,X,-3243178.4
20250120-233739,4,Y,+8802589.6
20250120-233739,4,Z,-4014652.6
20250120-233739,5,X,-14624835.2
20250120-233739,5,Y,-5753733.9
20250120-233739,5,Z,-4560985.5
20250120-233739,6,X,-5006548.6
20250120-233739,6,Y,-5525426.4
20250120-233739,6,Z,+000387.4
20250120-233739,7,X,+038251.3
20250120-233739,7,Y,-1276397.4
20250120-233739,7,Z,-7369060.1
20250120-233739,0,X,-8717193.4
20250120-233739,0,Y,-7420979.6
20250120-233739,0,Z,-6771714.9
20250120-233739,1,X,-7942038.1
20250120-233739,1,Y,-6575290.2
20250120-233739,1,Z,-2388501.4
20250120-233739,2,X,-7158972.4
20250120-233739,2,Y,+7907952.7
20250120-233739,2,Z,+2067035.9
20250120-233739,3,X,-4880683.3
20250120-233739,3,Y,-6917474.9
20250120-233739,3,Z,-6192824.9
20250120-233739,4,X,-3207406.9
20250120-233739,4,Y,+8769501.0
20250120-233739,4,Z,-4037009.8
20250120-233739,5,X,-14650173.4
20250120-233739,5,Y,-5780264.4
20250120-233739,5,Z,-4594074.1
20250120-233739,6,X,-4995519.0
20250120-233739,6,Y,-5555235.9
20250120-233739,6,Z,+000388.6
20250120-233739,7,X,+038251.3
20250120-233739,7,Y,-1287426.9
20250120-233739,7,Z,-7369358.2
20250120-233740,0,X,-8782774.5
20250120-233740,0,Y,-7389679.6
20250120-233740,0,Z,-6802120.7
20250120-233740,1,X,-7996589.6
20250120-233740,1,Y,-6549654.0
20250120-233740,1,Z,-2450803.4
20250120-233740,2,X,-7169405.7
20250120-233740,2,Y,+7878143.1
20250120-233740,2,Z,+2007714.9
20250120-233740,3,X,-4857729.9
20250120-233740,3,Y,-6993787.4
20250120-233740,3,Z,-6218163.0
20250120-233740,4,X,-3198166.0
20250120-233740,4,Y,+8799310.6
20250120-233740,4,Z,-3994978.3
20250120-233740,5,X,-14643615.3
20250120-233740,5,Y,-5744194.8
20250120-233740,5,Z,-4596458.8
20250120-233740,6,X,-5030694.3
20250120-233740,6,Y,-5534667.3
20250120-233740,6,Z,+000389.8
20250120-233740,7,X,+038251.3
20250120-233740,7,Y,-1235856.4
20250120-233740,7,Z,-7380089.7
20250120-233740,0,X,-8735079.2
20250120-233740,0,Y,-7424854.9
20250120-233740,0,Z,-6787215.9
20250120-233740,1,X,-7954856.2
20250120-233740,1,Y,-6596455.0
20250120-233740,1,Z,-2420397.6
20250120-233740,2,X,-7161953.3
20250120-233740,2,Y,+7931800.3
20250120-233740,2,Z,+2075680.7
20250120-233740,3,X,-4858326.1
20250120-233740,3,Y,-6940726.4
20250120-233740,3,Z,-6281657.4
20250120-233740,4,X,-3189819.3
20250120-233740,4,Y,+8795137.2
20250120-233740,4,Z,-3944004.0
20250120-233740,5,X,-14644211.5
20250120-233740,5,Y,-5764167.2
20250120-233740,5,Z,-4537734.0
20250120-233740,6,X,-4994922.8
20250120-233740,6,Y,-5525426.4
20250120-233740,6,Z,+000390.9
20250120-233740,7,X,+038251.3
20250120-233740,7,Y,-1175939.1
20250120-233740,7,Z,-7404533.5
20250120-233740,0,X,-8678142.9
20250120-233740,0,Y,-7420383.4
20250120-233740,0,Z,-6786917.8
20250120-233740,1,X,-7897025.6
20250120-233740,1,Y,-6617023.6
20250120-233740,1,Z,-2432619.6
20250120-233740,2,X,-7176560.0
20250120-233740,2,Y,+7934483.2
20250120-233740,2,Z,+1989829.1
20250120-233740,3,X,-4887241.4
20250120-233740,3,Y,-6931783.5
20250120-233740,3,Z,-6256617.3
20250120-233740,4,X,-3230062.2
20250120-233740,4,Y,+8727171.4
20250120-233740,4,Z,-3997065.0
20250120-233740,5,X,-14655837.2
20250120-233740,5,Y,-5783841.5
20250120-233740,5,Z,-4577082.6
20250120-233740,6,X,-5014001.0
20250120-233740,6,Y,-5545100.7
20250120-233740,6,Z,+000392.1
20250120-233740,7,X,+038251.3
20250120-233740,7,Y,-1296071.7
20250120-233740,7,Z,-7403043.0
20250120-233740,0,X,-8719876.3
20250120-233740,0,Y,-7455260.6
20250120-233740,0,Z,-6787514.0
20250120-233740,1,X,-7944422.8
20250120-233740,1,Y,-6570222.6
20250120-233740,1,Z,-2410858.6
20250120-233740,2,X,-7149433.3
20250120-233740,2,Y,+7933290.8
20250120-233740,2,Z,+2004137.7
20250120-233740,3,X,-4885750.9
20250120-233740,3,Y,-6916282.5
20250120-233740,3,Z,-6220249.7
20250120-233740,4,X,-3170145.0
20250120-233740,4,Y,+8796925.8
20250120-233740,4,Z,-3972323.1
20250120-233740,5,X,-14670443.9
20250120-233740,5,Y,-5816035.9
20250120-233740,5,Z,-4594968.4
20250120-233740,6,X,-5023540.0
20250120-233740,6,Y,-5515291.1
20250120-233740,6,Z,+000393.3
20250120-233740,7,X,+038251.3
20250120-233740,7,Y,-1293388.8
20250120-233740,7,Z,-7411389.7
20250120-233741,0,X,-8752070.6
20250120-233741,0,Y,-7405180.5
20250120-233741,0,Z,-6794668.3
20250120-233741,1,X,-7928623.7
20250120-233741,1,Y,-6581550.3
20250120-233741,1,Z,-2350643.3
20250120-233741,2,X,-7146452.4
20250120-233741,2,Y,+7933887.0
20250120-233741,2,Z,+2019340.6
20250120-233741,3,X,-4860412.8
20250120-233741,3,Y,-6966362.6
20250120-233741,3,Z,-6280465.0
20250120-233741,4,X,-3217840.3
20250120-233741,4,Y,+8711372.3
20250120-233741,4,Z,-3955927.8
20250120-233741,5,X,-14652558.1
20250120-233741,5,Y,-5808881.6
20250120-233741,5,Z,-4586621.7
20250120-233741,6,X,-4998500.0
20250120-233741,6,Y,-5617836.0
20250120-233741,6,Z,+000394.4
20250120-233741,7,X,+038251.3
20250120-233741,7,Y,-1237943.0
20250120-233741,7,Z,-7360117.3
20250120-233741,0,X,-8768764.0
20250120-233741,0,Y,-7445423.5
20250120-233741,0,Z,-6763070.1
20250120-233741,1,X,-7948596.2
20250120-233741,1,Y,-6578271.2
20250120-233741,1,Z,-2467496.8
20250120-233741,2,X,-7150923.8
20250120-233741,2,Y,+7937166.0
20250120-233741,2,Z,+2049150.2
20250120-233741,3,X,-4830007.0
20250120-233741,3,Y,-6935062.6
20250120-233741,3,Z,-6179708.6
20250120-233741,4,X,-3144806.8
20250120-233741,4,Y,+8746249.5
20250120-233741,4,Z,-4037009.8
20250120-233741,5,X,-14636162.9
20250120-233741,5,Y,-5777879.6
20250120-233741,5,Z,-4575592.1
20250120-233741,6,X,-5012510.5
20250120-233741,6,Y,-5561197.9
20250120-233741,6,Z,+000395.6
20250120-233741,7,X,+038251.3
20250120-233741,7,Y,-1240327.8
20250120-233741,7,Z,-7342827.7
20250120-233741,0,X,-8738954.4
20250120-233741,0,Y,-7463011.1
20250120-233741,0,Z,-6795860.7
20250120-233741,1,X,-7983473.4
20250120-233741,1,Y,-6562174.0
20250120-233741,1,Z,-2389097.6
20250120-233741,2,X,-7138403.8
20250120-233741,2,Y,+7898413.6
20250120-233741,2,Z,+1979992.0
20250120-233741,3,X,-4869653.8
20250120-233741,3,Y,-6958314.0
20250120-233741,3,Z,-6234260.2
20250120-233741,4,X,-3225590.8
20250120-233741,4,Y,+8804080.1
20250120-233741,4,Z,-3934464.9
20250120-233741,5,X,-14647788.6
20250120-233741,5,Y,-5795169.2
20250120-233741,5,Z,-4574399.8
20250120-233741,6,X,-4956170.4
20250120-233741,6,Y,-5534965.4
20250120-233741,6,Z,+000396.7
20250120-233741,7,X,+038251.3
20250120-233741,7,Y,-1142552.4
20250120-233741,7,Z,-7402446.9
20250120-233741,0,X,-8768465.9
20250120-233741,0,Y,-7409353.9
20250120-233741,0,Z,-6757704.4
20250120-233741,1,X,-7925940.9
20250120-233741,1,Y,-6582742.6
20250120-233741,1,Z,-2395655.7
20250120-233741,2,X,-7155097.1
20250120-233741,2,Y,+7930906.0
20250120-233741,2,Z,+2028879.7
20250120-233741,3,X,-4853258.5
20250120-233741,3,Y,-6944303.5
20250120-233741,3,Z,-6215778.2
20250120-233741,4,X,-3199954.5
20250120-233741,4,Y,+8725084.8
20250120-233741,4,Z,-3957418.3
20250120-233741,5,X,-14676107.7
20250120-233741,5,Y,-5777581.5
20250120-233741,5,Z,-4581256.0
20250120-233741,6,X,-5003865.7
20250120-233741,6,Y,-5543312.1
20250120-233741,6,Z,+000397.9
20250120-233741,7,X,+038251.3
20250120-233741,7,Y,-1318428.9
20250120-233741,7,Z,-7334779.1
20250120-233742,0,X,-8628957.1
20250120-233742,0,Y,-7433797.7
20250120-233742,0,Z,-6834911.2
20250120-233742,1,X,-7944422.8
20250120-233742,1,Y,-6626860.8
20250120-233742,1,Z,-2455274.8
20250120-233742,2,X,-7138701.9
20250120-233742,2,Y,+7900798.4
20250120-233742,2,Z,+2034841.6
20250120-233742,3,X,-4832689.9
20250120-233742,3,Y,-6913003.5
20250120-233742,3,Z,-6231875.4
20250120-233742,4,X,-3226783.2
20250120-233742,4,Y,+8773376.3
20250120-233742,4,Z,-3994084.0
20250120-233742,5,X,-14693099.1
20250120-233742,5,Y,-5810968.2
20250120-233742,5,Z,-4572909.3
20250120-233742,6,X,-4997307.6
20250120-233742,6,Y,-5478923.4
20250120-233742,6,Z,+000399.1
20250120-233742,7,X,+038251.3
20250120-233742,7,Y,-1272820.2
20250120-233742,7,Z,-7405129.7
20250120-233742,0,X,-8741935.4
20250120-233742,0,Y,-7453770.1
20250120-233742,0,Z,-6799437.8
20250120-233742,1,X,-7943528.5
20250120-233742,1,Y,-6597349.3
20250120-233742,1,Z,-2401319.5
20250120-233742,2,X,-7172982.9
20250120-233742,2,Y,+7918982.2
20250120-233742,2,Z,+2023513.9
20250120-233742,3,X,-4850277.5
20250120-233742,3,Y,-6941918.8
20250120-233742,3,Z,-6203854.4
20250120-233742,4,X,-3165077.3
20250120-233742,4,Y,+8748038.1
20250120-233742,4,Z,-3958908.8
20250120-233742,5,X,-14611122.8
20250120-233742,5,Y,-5767446.3
20250120-233742,5,Z,-4594074.1
20250120-233742,6,X,-5037252.4
20250120-233742,6,Y,-5545100.7
20250120-233742,6,Z,+000400.2
20250120-233742,7,X,+038251.3
20250120-233742,7,Y,-1256425.0
20250120-233742,7,Z,-7415563.1
20250120-233742,0,X,-8718087.7
20250120-233742,0,Y,-7409950.1
20250120-233742,0,Z,-6822689.3
20250120-233742,1,X,-7965885.7
20250120-233742,1,Y,-6607186.5
20250120-233742,1,Z,-2432917.7
20250120-233742,2,X,-7161655.3
20250120-233742,2,Y,+7914808.9
20250120-233742,2,Z,+2071209.2
20250120-233742,3,X,-4846402.3
20250120-233742,3,Y,-6933870.2
20250120-233742,3,Z,-6260492.6
20250120-233742,4,X,-3211580.3
20250120-233742,4,Y,+8818686.8
20250120-233742,4,Z,-3990208.8
20250120-233742,5,X,-14645403.8
20250120-233742,5,Y,-5815737.8
20250120-233742,5,Z,-4608084.6
20250120-233742,6,X,-5004760.0
20250120-233742,6,Y,-5572227.4
20250120-233742,6,Z,+000401.4
20250120-233742,7,X,+038251.3
20250120-233742,7,Y,-1181901.0
20250120-233742,7,Z,-7415265.0
20250120-233742,0,X,-8744916.3
20250120-233742,0,Y,-7412632.9
20250120-233742,0,Z,-6808380.7
20250120-233742,1,X,-7994801.0
20250120-233742,1,Y,-6602417.0
20250120-233742,1,Z,-2413541.4
20250120-233742,2,X,-7134230.4
20250120-233742,2,Y,+7939550.8
20250120-233742,2,Z,+2044082.5
20250120-233742,3,X,-4847594.7
20250120-233742,3,Y,-6958314.0
20250120-233742,3,Z,-6245587.8
20250120-233742,4,X,-3218436.5
20250120-233742,4,Y,+8820177.3
20250120-233742,4,Z,-4030451.7
20250120-233742,5,X,-14638547.6
20250120-233742,5,Y,-5780860.6
20250120-233742,5,Z,-4572313.1
20250120-233742,6,X,-4999096.2
20250120-233742,6,Y,-5545696.9
20250120-233742,6,Z,+000402.6
20250120-233742,7,X,+038251.3
20250120-233742,7,Y,-1181006.8
20250120-233742,7,Z,-7379791.6
20250120-233743,0,X,-8743127.7
20250120-233743,0,Y,-7401305.3
20250120-233743,0,Z,-6797351.1
20250120-233743,1,X,-7918488.5
20250120-233743,1,Y,-6547269.2
20250120-233743,1,Z,-2400127.1
20250120-233743,2,X,-7197128.6
20250120-233743,2,Y,+7927030.8
20250120-233743,2,Z,+1976116.7
20250120-233743,3,X,-4868461.4
20250120-233743,3,Y,-6946986.4
20250120-233743,3,Z,-6259896.4
20250120-233743,4,X,-3248842.2
20250120-233743,4,Y,+8817494.4
20250120-233743,4,Z,-3984545.0
20250120-233743,5,X,-14645105.7
20250120-233743,5,Y,-5819314.9
20250120-233743,5,Z,-4584833.1
20250120-233743,6,X,-4995519.0
20250120-233743,6,Y,-5518272.1
20250120-233743,6,Z,+000403.7
20250120-233743,7,X,+038251.3
20250120-233743,7,Y,-1359268.0
20250120-233743,7,Z,-7417649.7
20250120-233743,0,X,-8739252.5
20250120-233743,0,Y,-7385208.1
20250120-233743,0,Z,-6789302.6
20250120-233743,1,X,-7952173.3
20250120-233743,1,Y,-6551144.5
20250120-233743,1,Z,-2418311.0
20250120-233743,2,X,-7163443.8
20250120-233743,2,Y,+7936569.9
20250120-233743,2,Z,+2003541.5
20250120-233743,3,X,-4842825.1
20250120-233743,3,Y,-6913599.7
20250120-233743,3,Z,-6240222.1
20250120-233743,4,X,-3145403.0
20250120-233743,4,Y,+8800801.1
20250120-233743,4,Z,-3999747.9
20250120-233743,5,X,-14630201.0
20250120-233743,5,Y,-5787418.7
20250120-233743,5,Z,-4596458.8
20250120-233743,6,X,-4982402.8
20250120-233743,6,Y,-5551062.6
20250120-233743,6,Z,+000404.9
20250120-233743,7,X,+038251.3
20250120-233743,7,Y,-1262386.9
20250120-233743,7,Z,-7405129.7
20250120-233743,0,X,-8749387.7
20250120-233743,0,Y,-7405478.6
20250120-233743,0,Z,-6729981.5
20250120-233743,1,X,-7950980.9
20250120-233743,1,Y,-6565751.2
20250120-233743,1,Z,-2367038.5
20250120-233743,2,X,-7092497.0
20250120-233743,2,Y,+7885595.5
20250120-233743,2,Z,+2033053.0
20250120-233743,3,X,-4832988.0
20250120-233743,3,Y,-6915090.2
20250120-233743,3,Z,-6209220.1
20250120-233743,4,X,-3165375.4
20250120-233743,4,Y,+8810936.3
20250120-233743,4,Z,-3995872.6
20250120-233743,5,X,-14669847.7
20250120-233743,5,Y,-5796361.6
20250120-233743,5,Z,-4569034.0
20250120-233743,6,X,-4991643.8
20250120-233743,6,Y,-5560601.7
20250120-233743,6,Z,+000406.1
20250120-233743,7,X,+038251.3
20250120-233743,7,Y,-1320515.5
20250120-233743,7,Z,-7384859.2
20250120-233744,0,X,-8754753.5
20250120-233744,0,Y,-7422619.1
20250120-233744,0,Z,-6765305.9
20250120-233744,1,X,-7948596.2
20250120-233744,1,Y,-6586468.8
20250120-233744,1,Z,-2411007.6
20250120-233744,2,X,-7182074.8
20250120-233744,2,Y,+7908399.8
20250120-233744,2,Z,+2041846.8
20250120-233744,3,X,-4869802.8
20250120-233744,3,Y,-6950414.5
20250120-233744,3,Z,-6199084.9
20250120-233744,4,X,-3196675.5
20250120-233744,4,Y,+8808700.6
20250120-233744,4,Z,-3984843.1
20250120-233744,5,X,-14629902.9
20250120-233744,5,Y,-5775494.9
20250120-233744,5,Z,-4589155.5
20250120-233744,6,X,-4981508.5
20250120-233744,6,Y,-5492486.8
20250120-233744,6,Z,+000407.8
20250120-233744,7,X,+038251.3
20250120-233744,7,Y,-1202171.5
20250120-233744,7,Z,-7384114.0
20250120-233744,0,X,-8712125.8
20250120-233744,0,Y,-7428133.9
20250120-233744,0,Z,-6796456.9
20250120-233744,1,X,-7917892.3
20250120-233744,1,Y,-6575886.4
20250120-233744,1,Z,-2357499.5
20250120-233744,2,X,-7174473.4
20250120-233744,2,Y,+7888278.4
20250120-233744,2,Z,+2044976.8
20250120-233744,3,X,-4863393.7
20250120-233744,3,Y,-6943409.3
20250120-233744,3,Z,-6206835.3
20250120-233744,4,X,-3227379.3
20250120-233744,4,Y,+8820475.4
20250120-233744,4,Z,-4001536.4
20250120-233744,5,X,-14603372.3
20250120-233744,5,Y,-5778475.8
20250120-233744,5,Z,-4548465.4
20250120-233744,6,X,-4994326.6
20250120-233744,6,Y,-5520358.7
20250120-233744,6,Z,+000409.6
20250120-233744,7,X,+038251.3
20250120-233744,7,Y,-1299946.9
20250120-233744,7,Z,-7377108.7
20250120-233744,0,X,-8730011.5
20250120-233744,0,Y,-7419787.2
20250120-233744,0,Z,-6761877.8
20250120-233744,1,X,-7961414.3
20250120-233744,1,Y,-6630736.0
20250120-233744,1,Z,-2456467.2
20250120-233744,2,X,-7172684.8
20250120-233744,2,Y,+7890961.2
20250120-233744,2,Z,+1997579.6
20250120-233744,3,X,-4851171.8
20250120-233744,3,Y,-6937149.2
20250120-233744,3,Z,-6262579.2
20250120-233744,4,X,-3171933.5
20250120-233744,4,Y,+8800503.0
20250120-233744,4,Z,-3977986.9
20250120-233744,5,X,-14659414.3
20250120-233744,5,Y,-5812458.7
20250120-233744,5,Z,-4577082.6
20250120-233744,6,X,-4972267.6
20250120-233744,6,Y,-5522445.4
20250120-233744,6,Z,+000410.7
20250120-233744,7,X,+038251.3
20250120-233744,7,Y,-1271329.7
20250120-233744,7,Z,-7437324.0
20250120-233744,0,X,-8735973.4
20250120-233744,0,Y,-7439461.6
20250120-233744,0,Z,-6785427.3
20250120-233744,1,X,-7913420.9
20250120-233744,1,Y,-6590493.1
20250120-233744,1,Z,-2397742.4
20250120-233744,2,X,-7144067.6
20250120-233744,2,Y,+7893047.9
20250120-233744,2,Z,+2044380.6
20250120-233744,3,X,-4838353.7
20250120-233744,3,Y,-6949669.3
20250120-233744,3,Z,-6264964.0
20250120-233744,4,X,-3237514.6
20250120-233744,4,Y,+8767116.2
20250120-233744,4,Z,-4032836.5
20250120-233744,5,X,-14654942.9
20250120-233744,5,Y,-5765955.8
20250120-233744,5,Z,-4580063.6
20250120-233744,6,X,-5026222.9
20250120-233744,6,Y,-5538244.5
20250120-233744,6,Z,+000411.9
20250120-233744,7,X,+038251.3
20250120-233744,7,Y,-1233769.7
20250120-233744,7,Z,-7365781.1
20250120-233745,0,X,-8705269.6
20250120-233745,0,Y,-7424258.7
20250120-233745,0,Z,-6737732.0
20250120-233745,1,X,-7950384.7
20250120-233745,1,Y,-6570222.6
20250120-233745,1,Z,-2451399.6
20250120-233745,2,X,-7182521.9
20250120-233745,2,Y,+7875758.3
20250120-233745,2,Z,+2079555.9
20250120-233745,3,X,-4861009.0
20250120-233745,3,Y,-6887963.5
20250120-233745,3,Z,-6256617.3
20250120-233745,4,X,-3187732.6
20250120-233745,4,Y,+8699150.4
20250120-233745,4,Z,-3987824.0
20250120-233745,5,X,-14647788.6
20250120-233745,5,Y,-5781456.8
20250120-233745,5,Z,-4578275.0
20250120-233745,6,X,-5030396.2
20250120-233745,6,Y,-5514993.0
20250120-233745,6,Z,+000413.0
20250120-233745,7,X,+038251.3
20250120-233745,7,Y,-1194719.2
20250120-233745,7,Z,-7437920.2
20250120-233745,0,X,-8748195.4
20250120-233745,0,Y,-7424854.9
20250120-233745,0,Z,-6773205.4
20250120-233745,1,X,-7949788.5
20250120-233745,1,Y,-6602118.9
20250120-233745,1,Z,-2388203.3
20250120-233745,2,X,-7180137.2
20250120-233745,2,Y,+7874864.0
20250120-233745,2,Z,+2022917.7
20250120-233745,3,X,-4866374.7
20250120-233745,3,Y,-6916580.6
20250120-233745,3,Z,-6213691.5
20250120-233745,4,X,-3243178.4
20250120-233745,4,Y,+8799906.8
20250120-233745,4,Z,-3976198.3
20250120-233745,5,X,-14658818.1
20250120-233745,5,Y,-5775196.8
20250120-233745,5,Z,-4551148.3
20250120-233745,6,X,-5021453.4
20250120-233745,6,Y,-5489356.8
20250120-233745,6,Z,+000414.2
20250120-233745,7,X,+038251.3
20250120-233745,7,Y,-1172958.2
20250120-233745,7,Z,-7397379.2
20250120-233745,0,X,-8720174.4
20250120-233745,0,Y,-7391170.1
20250120-233745,0,Z,-6766051.1
20250120-233745,1,X,-7936374.2
20250120-233745,1,Y,-6575886.4
20250120-233745,1,Z,-2324410.8
20250120-233745,2,X,-7117239.0
20250120-233745,2,Y,+7912424.1
20250120-233745,2,Z,+2049150.2
20250120-233745,3,X,-4892010.9
20250120-233745,3,Y,-6901079.7
20250120-233745,3,Z,-6222336.3
20250120-233745,4,X,-3185944.0
20250120-233745,4,Y,+8719420.9
20250120-233745,4,Z,-4023297.4
20250120-233745,5,X,-14645701.9
20250120-233745,5,Y,-5793678.7
20250120-233745,5,Z,-4586323.6
20250120-233745,6,X,-4981508.5
20250120-233745,6,Y,-5530494.0
20250120-233745,6,Z,+000415.4
20250120-233745,7,X,+038251.3
20250120-233745,7,Y,-1336314.6
20250120-233745,7,Z,-7370848.7
20250120-233746,0,X,-8800362.1
20250120-233746,0,Y,-7440653.9
20250120-233746,0,Z,-6792879.7
20250120-233746,1,X,-7959327.6
20250120-233746,1,Y,-6597349.3
20250120-233746,1,Z,-2476737.7
20250120-233746,2,X,-7136317.1
20250120-233746,2,Y,+7889470.7
20250120-233746,2,Z,+2029177.8
20250120-233746,3,X,-4859220.4
20250120-233746,3,Y,-6944303.5
20250120-233746,3,Z,-6260492.6
20250120-233746,4,X,-3241389.8
20250120-233746,4,Y,+8824350.6
20250120-233746,4,Z,-4023297.4
20250120-233746,5,X,-14674021.0
20250120-233746,5,Y,-5802919.7
20250120-233746,5,Z,-4574995.9
20250120-233746,6,X,-5009827.6
20250120-233746,6,Y,-5537648.3
20250120-233746,6,Z,+000416.5
20250120-233746,7,X,+038251.3
20250120-233746,7,Y,-1243010.7
20250120-233746,7,Z,-7348789.6
20250120-233746,0,X,-8758330.6
20250120-233746,0,Y,-7409055.8
20250120-233746,0,Z,-6808678.8
20250120-233746,1,X,-7958731.4
20250120-233746,1,Y,-6572905.5
20250120-233746,1,Z,-2383135.7
20250120-233746,2,X,-7145558.1
20250120-233746,2,Y,+7920174.6
20250120-233746,2,Z,+2031562.5
20250120-233746,3,X,-4859816.6
20250120-233746,3,Y,-6916580.6
20250120-233746,3,Z,-6231279.2
20250120-233746,4,X,-3147489.7
20250120-233746,4,Y,+8808849.6
20250120-233746,4,Z,-3953244.9
20250120-233746,5,X,-14618575.2
20250120-233746,5,Y,-5775494.9
20250120-233746,5,Z,-4581256.0
20250120-233746,6,X,-4997307.6
20250120-233746,6,Y,-5537052.1
20250120-233746,6,Z,+000417.7
20250120-233746,7,X,+038251.3
20250120-233746,7,Y,-1309187.9
20250120-233746,7,Z,-7367569.7
20250120-233746,0,X,-8712125.8
20250120-233746,0,Y,-7437374.9
20250120-233746,0,Z,-6789004.5
20250120-233746,1,X,-7940547.6
20250120-233746,1,Y,-6605099.8
20250120-233746,1,Z,-2403704.3
20250120-233746,2,X,-7189378.1
20250120-233746,2,Y,+7914510.8
20250120-233746,2,Z,+2025898.7
20250120-233746,3,X,-4846104.2
20250120-233746,3,Y,-6913599.7
20250120-233746,3,Z,-6242010.6
20250120-233746,4,X,-3245563.2
20250120-233746,4,Y,+8739393.3
