时间（年月日时分秒）,传感器,通道,磁场值(nT)
20250120-225219,5,Y,-000060.9
20250120-225219,5,Z,+000019.8
20250120-225219,6,X,-000041.1
20250120-225219,6,Y,+000164.1
20250120-225219,6,Z,+000061.3
20250120-225219,7,X,+000024.1
20250120-225219,7,Y,+000029.3
20250120-225219,7,Z,-000210.1
20250120-225219,8,X,+000051.4
20250120-225219,8,Y,+000093.7
20250120-225219,8,Z,+000003.0
20250120-225219,9,X,-000128.1
20250120-225219,9,Y,-000079.0
20250120-225219,9,Z,+000258.0
20250120-225219,10,X,+000003.2
20250120-225219,10,Y,+000354.3
20250120-225219,10,Z,-000056.5
20250120-225219,11,Y,+153221.2
20250120-225219,11,Z,-000004.9
20250120-225219,12,X,-000082.2
20250120-225219,12,Y,+000131.2
20250120-225219,12,Z,+000009.5
20250120-225219,13,X,-000044.9
20250120-225219,13,Y,+000067.1
20250120-225219,13,Z,-000125.2
20250120-225219,14,X,-000286.4
20250120-225219,14,Y,+000044.3
20250120-225219,14,Z,-000096.0
20250120-225219,15,X,+000095.8
20250120-225219,15,Y,-000131.7
20250120-225219,15,Z,-000021.3
20250120-225220,0,X,-000017.5
20250120-225220,0,Y,+000158.4
20250120-225220,0,Z,+000017.5
20250120-225220,1,X,+000125.8
20250120-225220,1,Y,-000046.6
20250120-225220,1,Z,+000047.7
20250120-225220,2,X,-000106.0
20250120-225220,2,Y,+000130.4
20250120-225220,2,Z,-000142.1
20250120-225220,3,Y,+228937.5
20250120-225220,3,Z,+000314.4
20250120-225220,4,X,+000053.6
20250120-225220,4,Y,+000066.4
20250120-225220,4,Z,+000011.6
20250120-225220,5,X,-000080.3
20250120-225220,5,Y,+000058.2
20250120-225220,5,Z,-000232.9
20250120-225220,6,X,+000086.2
20250120-225220,6,Y,-000164.2
20250120-225220,6,Z,-000215.4
20250120-225220,7,X,+000165.3
20250120-225220,7,Y,-000054.7
20250120-225220,7,Z,-000175.8
20250120-225220,8,X,+000058.2
20250120-225220,8,Y,-000033.8
20250120-225220,8,Z,+000241.0
20250120-225220,9,X,-000239.9
20250120-225220,9,Y,+000117.6
20250120-225220,9,Z,+000192.1
20250120-225220,10,X,-000075.7
20250120-225220,10,Y,-000005.8
20250120-225220,10,Z,+000011.6
20250120-225220,11,Y,+228937.5
20250120-225220,11,Z,+000115.3
20250120-225220,12,X,+000243.4
20250120-225220,12,Z,+000142.1
20250120-225220,13,X,-000191.0
20250120-225220,13,Y,+000041.9
20250120-225220,13,Z,-000048.9
20250120-225220,14,X,-000152.5
20250120-225220,14,Y,+000152.5
20250120-225220,14,Z,-000111.8
20250120-225220,15,X,+000005.8
20250120-225220,15,Y,-000093.2
20250120-225220,15,Z,-000074.5
20250120-225220,0,X,+000075.7
20250120-225220,0,Y,+000007.0
20250120-225220,0,Z,-000005.8
20250120-225220,1,X,-000153.7
20250120-225220,1,Y,-000027.9
20250120-225220,1,Z,-000128.1
20250120-225220,2,X,-000128.1
20250120-225220,2,Y,+000078.0
20250120-225220,2,Z,-000200.3
20250120-225220,3,Y,+305250.0
20250120-225220,3,Z,+000256.2
20250120-225220,4,X,+000045.4
20250120-225220,4,Y,+000208.4
20250120-225220,4,Z,-000157.2
20250120-225220,5,X,+000089.7
20250120-225220,5,Y,+000121.1
20250120-225220,5,Z,-000108.3
20250120-225220,6,X,+000010.5
20250120-225220,6,Y,+000184.0
20250120-225220,6,Z,+000173.5
20250120-225220,7,X,+000136.2
20250120-225220,7,Y,-000160.7
20250120-225220,7,Z,-000107.1
20250120-225220,8,X,+000136.2
20250120-225220,8,Y,-000032.6
20250120-225220,8,Z,+000062.9
20250120-225220,9,X,+000033.8
20250120-225220,9,Y,-000234.1
20250120-225220,9,Z,+000443.7
20250120-225220,10,X,+000129.3
20250120-225220,10,Y,+000089.7
20250120-225220,10,Z,-000156.0
20250120-225220,11,Y,+305250.0
20250120-225220,11,Z,+000004.7
20250120-225220,12,X,+000122.3
20250120-225220,12,Y,+000110.6
20250120-225220,12,Z,-000166.5
20250120-225220,13,X,-000210.8
20250120-225220,13,Y,+000106.0
20250120-225220,13,Z,+000034.9
20250120-225220,14,X,-000099.0
20250120-225220,14,Y,+000133.9
20250120-225220,14,Z,-000146.7
20250120-225220,15,X,+000198.0
20250120-225220,15,Y,-000045.4
20250120-225220,15,Z,-000095.5
20250120-225220,0,X,-000104.8
20250120-225220,0,Y,+000157.2
20250120-225220,0,Z,+000005.8
20250120-225220,1,X,-000180.5
20250120-225220,1,Y,+000005.8
20250120-225220,1,Z,+000073.4
20250120-225220,2,X,+000027.9
20250120-225220,2,Z,-000217.7
20250120-225220,3,Y,+381562.5
20250120-225220,3,Z,-000071.0
20250120-225220,4,X,+000016.3
20250120-225220,4,Y,-000203.8
20250120-225220,4,Z,-000047.7
20250120-225220,5,X,+000022.1
20250120-225220,5,Y,+000003.5
20250120-225220,5,Z,-000231.7
20250120-225220,6,X,+000021.0
20250120-225220,6,Y,-000191.0
20250120-225220,6,Z,-000111.8
20250120-225220,7,X,+000088.5
20250120-225220,7,Y,+000008.2
20250120-225220,7,Z,-000214.3
20250120-225220,8,X,-000030.3
20250120-225220,8,Y,+000016.3
20250120-225220,8,Z,+000108.3
20250120-225220,9,X,-000173.5
20250120-225220,9,Y,-000014.0
20250120-225220,9,Z,+000164.2
20250120-225220,10,X,-000030.3
20250120-225220,10,Y,+000378.4
20250120-225220,10,Z,+000157.2
20250120-225220,11,Y,+381562.5
20250120-225220,11,Z,-000027.9
20250120-225220,12,X,+000444.8
20250120-225220,12,Y,+000067.5
20250120-225220,12,Z,+000075.7
20250120-225220,13,X,-000152.5
20250120-225220,13,Y,+000014.0
20250120-225220,13,Z,+000179.3
20250120-225220,14,X,-000171.2
20250120-225220,14,Y,+000014.0
20250120-225220,14,Z,-000072.2
20250120-225220,15,X,+000018.6
20250120-225220,15,Y,-000193.3
20250120-225220,15,Z,+000048.9
20250120-225220,0,X,-000288.8
20250120-225220,0,Y,-000033.8
20250120-225220,0,Z,+001416.0
20250120-225220,1,X,-000878.0
20250120-225220,1,Y,+000276.0
20250120-225220,1,Z,+000151.4
20250120-225220,2,X,+000469.3
20250120-225220,2,Y,-000029.1
20250120-225220,2,Z,-000265.5
20250120-225220,3,Y,+420314.9
20250120-225220,3,Z,+000220.1
20250120-225220,4,X,+000345.8
20250120-225220,4,Y,-000690.5
20250120-225220,4,Z,+000660.2
20250120-225220,5,X,-000214.3
20250120-225220,5,Y,-000561.3
20250120-225220,5,Z,+000168.8
20250120-225220,6,X,+000428.5
20250120-225220,6,Y,+000464.6
20250120-225220,6,Z,-000730.1
20250120-225220,7,X,+000272.5
20250120-225220,7,Y,+000613.7
20250120-225220,7,Z,+000493.7
20250120-225220,8,X,-001225.0
20250120-225220,8,Y,-000385.4
20250120-225220,8,Z,-000039.6
20250120-225220,9,X,-000203.8
20250120-225220,9,Y,+000135.1
20250120-225220,9,Z,+000436.7
20250120-225220,10,X,-000050.1
20250120-225220,10,Y,-000557.8
20250120-225220,10,Z,-000539.1
20250120-225220,11,Y,+420314.9
20250120-225220,11,Z,+000010.4
20250120-225220,12,X,+000412.2
20250120-225220,12,Y,-001258.8
20250120-225220,12,Z,-000075.7
20250120-225220,13,X,-000224.7
20250120-225220,13,Y,-000425.0
20250120-225220,13,Z,-000386.6
20250120-225220,14,X,-000662.6
20250120-225220,14,Y,+000786.0
20250120-225220,14,Z,-001480.0
20250120-225220,15,X,+000595.0
20250120-225220,15,Y,-000722.0
20250120-225220,15,Z,-000221.2
20250120-225220,0,X,+000186.8
20250120-225220,0,Y,-000024.3
20250120-225220,0,Z,+000073.3
20250120-225220,1,X,-000105.5
20250120-225220,1,Y,-000088.4
20250120-225220,1,Z,+000056.7
20250120-225220,2,X,+000140.4
20250120-225220,2,Y,-000009.0
20250120-225220,2,Z,-000390.9
20250120-225220,3,Y,+458471.2
20250120-225220,3,Z,+000194.1
20250120-225220,4,X,-000028.0
20250120-225220,4,Y,+000084.3
20250120-225220,4,Z,+000208.4
20250120-225220,5,X,+000117.0
20250120-225220,5,Y,-000120.0
20250120-225220,5,Z,-000109.1
20250120-225220,6,X,+000053.5
20250120-225220,6,Y,+000024.6
20250120-225220,6,Z,-000201.3
20250120-225220,7,X,+000200.3
20250120-225220,7,Y,-000006.2
20250120-225220,7,Z,+000012.3
20250120-225220,8,X,+000072.7
20250120-225220,8,Y,+000079.5
20250120-225220,8,Z,+000122.5
20250120-225220,9,X,-000087.9
20250120-225220,9,Y,-000139.4
20250120-225220,9,Z,+000269.9
20250120-225220,10,X,-000028.8
20250120-225220,10,Y,-000250.2
20250120-225220,10,Z,-000148.8
20250120-225220,11,Y,+458471.2
20250120-225220,11,Z,-000012.0
20250120-225220,12,X,+000308.1
20250120-225220,12,Z,+000115.9
20250120-225220,13,X,-000177.4
20250120-225220,13,Y,-000054.8
20250120-225220,13,Z,+000054.6
20250120-225220,14,X,-000169.3
20250120-225220,14,Y,+000015.9
20250120-225220,14,Z,-000123.2
20250120-225220,15,X,+000126.6
20250120-225220,15,Y,-000020.5
20250120-225220,15,Z,-000082.8
20250120-225220,0,X,+000097.8
20250120-225220,0,Y,+000223.6
20250120-225220,0,Z,+000039.6
20250120-225220,1,X,-000103.6
20250120-225220,1,Y,+000131.6
20250120-225220,1,Z,-000131.6
20250120-225220,2,X,-000079.2
20250120-225220,2,Y,+000016.3
20250120-225220,2,Z,+000027.9
20250120-225220,3,Y,+534187.5
20250120-225220,3,Z,+000320.2
20250120-225220,4,X,+000225.9
20250120-225220,4,Y,+000050.1
20250120-225220,4,Z,-000123.4
20250120-225220,5,X,+000117.6
20250120-225220,5,Y,+000015.1
20250120-225220,5,Z,-000149.0
20250120-225220,6,X,+000055.9
20250120-225220,6,Y,+000076.9
20250120-225220,6,Z,+000052.4
20250120-225220,7,X,+000170.0
20250120-225220,7,Y,-000038.4
20250120-225220,7,Z,-000188.6
20250120-225220,8,X,+000051.2
20250120-225220,8,Y,-000036.1
20250120-225220,8,Z,+000016.3
20250120-225220,9,X,-000078.0
20250120-225220,9,Y,-000132.7
20250120-225220,9,Z,+000157.2
20250120-225220,10,X,+000068.7
20250120-225220,10,Y,+000234.1
20250120-225220,10,Z,-000128.1
20250120-225220,11,Y,+534187.5
20250120-225220,11,Z,+000036.1
20250120-225220,12,X,+000263.2
20250120-225220,12,Y,+000012.8
20250120-225220,12,Z,+000067.5
20250120-225220,13,X,-000291.1
20250120-225220,13,Z,-000016.3
20250120-225220,14,X,+000012.8
20250120-225220,14,Y,+000121.1
20250120-225220,14,Z,-000068.7
20250120-225220,15,X,+000061.7
20250120-225220,15,Y,-000011.6
20250120-225220,15,Z,-000051.2
20250120-225221,0,X,+000024.5
20250120-225221,0,Y,-000146.7
20250120-225221,0,Z,+000025.6
20250120-225221,1,X,-000058.2
20250120-225221,1,Y,-000038.4
20250120-225221,1,Z,-000034.9
20250120-225221,2,X,+000024.5
20250120-225221,2,Y,+000066.4
20250120-225221,2,Z,-000258.5
20250120-225221,3,Y,+610500.0
20250120-225221,3,Z,+000320.2
20250120-225221,4,X,+000173.5
20250120-225221,4,Y,-000018.6
20250120-225221,4,Z,-000052.4
20250120-225221,5,X,+000093.2
20250120-225221,5,Y,-000008.2
20250120-225221,5,Z,-000184.0
20250120-225221,6,X,+000154.9
20250120-225221,6,Y,+000029.1
20250120-225221,6,Z,-000229.4
20250120-225221,7,X,+000153.7
20250120-225221,7,Y,-000095.5
20250120-225221,7,Z,-000159.5
20250120-225221,8,X,+000356.3
20250120-225221,8,Y,+000161.9
20250120-225221,8,Z,+000030.3
20250120-225221,9,X,-000040.8
20250120-225221,9,Y,-000130.4
20250120-225221,10,X,+000117.6
20250120-225221,10,Y,+000215.4
20250120-225221,10,Z,+000160.7
20250120-225221,11,Y,+610500.0
20250120-225221,11,Z,-000008.2
20250120-225221,12,X,+000044.2
20250120-225221,12,Y,+000104.8
20250120-225221,12,Z,-000051.2
20250120-225221,13,X,-000121.1
20250120-225221,13,Y,-000036.1
20250120-225221,13,Z,+000008.1
20250120-225221,14,X,+000054.7
20250120-225221,14,Y,+000016.3
20250120-225221,14,Z,-000184.0
20250120-225221,15,X,+000048.9
20250120-225221,15,Y,-000202.6
20250120-225221,15,Z,-000096.6
20250120-225221,0,X,+000048.9
20250120-225221,0,Y,+000341.2
20250120-225221,0,Z,+000051.2
20250120-225221,1,X,-000075.7
20250120-225221,1,Y,+000004.7
20250120-225221,1,Z,+000044.2
20250120-225221,2,X,+000066.4
20250120-225221,2,Y,+000019.8
20250120-225221,2,Z,-000230.6
20250120-225221,3,Y,+686812.5
20250120-225221,3,Z,+000454.1
20250120-225221,4,X,+000071.0
20250120-225221,4,Y,+000092.0
20250120-225221,4,Z,+000026.8
20250120-225221,5,X,+000051.2
20250120-225221,5,Y,-000032.6
20250120-225221,5,Z,-000189.8
20250120-225221,6,X,+000059.4
20250120-225221,6,Y,+000079.2
20250120-225221,6,Z,+000099.0
20250120-225221,7,X,+000115.3
20250120-225221,7,Y,+000019.8
20250120-225221,7,Z,-000242.2
20250120-225221,8,X,+000109.5
20250120-225221,8,Y,+000015.1
20250120-225221,8,Z,+000187.5
20250120-225221,9,X,-000036.1
20250120-225221,9,Y,-000010.5
20250120-225221,9,Z,+000175.8
20250120-225221,10,X,+000161.9
20250120-225221,10,Y,+000174.7
20250120-225221,10,Z,+000007.0
20250120-225221,11,Y,+686812.5
20250120-225221,11,Z,+000041.9
20250120-225221,12,X,+000045.4
20250120-225221,12,Y,+000062.9
20250120-225221,12,Z,-000012.8
20250120-225221,13,X,-000188.6
20250120-225221,13,Y,-000088.5
20250120-225221,13,Z,-000090.8
20250120-225221,14,X,-000294.6
20250120-225221,14,Y,+000043.1
20250120-225221,14,Z,-000003.5
20250120-225221,15,X,+000179.3
20250120-225221,15,Y,-000017.5
20250120-225221,15,Z,-000073.4
20250120-225221,0,X,+000232.9
20250120-225221,0,Y,+000487.9
20250120-225221,0,Z,+000819.8
20250120-225221,1,X,-000132.7
20250120-225221,1,Y,-000320.2
20250120-225221,1,Z,+000225.9
20250120-225221,2,X,-000723.1
20250120-225221,2,Y,+000492.6
20250120-225221,2,Z,+001225.0
20250120-225221,3,Y,+725564.9
20250120-225221,3,Z,+000667.2
20250120-225221,4,X,+000122.3
20250120-225221,4,Y,-000243.4
20250120-225221,4,Z,+000511.2
20250120-225221,5,X,+001425.3
20250120-225221,5,Y,+001227.3
20250120-225221,5,Z,-000576.4
20250120-225221,6,X,+000055.9
20250120-225221,6,Y,+000017.5
20250120-225221,6,Z,-000059.4
20250120-225221,7,X,+000794.1
20250120-225221,7,Y,-000131.6
20250120-225221,7,Z,-000177.0
20250120-225221,8,X,+000414.5
20250120-225221,8,Y,-000012.8
20250120-225221,8,Z,-000188.6
20250120-225221,9,X,+000616.0
20250120-225221,9,Y,+000284.1
20250120-225221,9,Z,+000660.2
20250120-225221,10,X,+000397.1
20250120-225221,10,Y,+000262.0
20250120-225221,10,Z,-000464.6
20250120-225221,11,Y,+725564.9
20250120-225221,11,Z,+000010.4
20250120-225221,12,X,-000258.5
20250120-225221,12,Y,+000008.2
20250120-225221,12,Z,+000073.4
20250120-225221,13,X,+000520.5
20250120-225221,13,Y,+000618.3
20250120-225221,13,Z,+000880.3
20250120-225221,14,X,+000455.3
20250120-225221,14,Y,+000413.4
20250120-225221,14,Z,-000734.8
20250120-225221,15,X,-000522.8
20250120-225221,15,Y,-000200.3
20250120-225221,15,Z,-000966.5
20250120-225221,0,X,+000073.2
20250120-225221,0,Y,-000033.8
20250120-225221,1,X,+000037.6
20250120-225221,1,Y,-000016.2
20250120-225221,1,Z,-000003.6
20250120-225221,2,X,-000022.8
20250120-225221,2,Y,+000250.1
20250120-225221,2,Z,-000302.2
20250120-225221,3,Y,+763721.2
20250120-225221,3,Z,+000004.8
20250120-225221,4,X,+000079.7
20250120-225221,4,Y,+000156.5
20250120-225221,4,Z,-000068.4
20250120-225221,5,X,+000029.4
20250120-225221,5,Y,+000149.7
20250120-225221,5,Z,-000073.7
20250120-225221,6,X,-000147.6
20250120-225221,6,Y,-000072.4
20250120-225221,6,Z,-000090.1
20250120-225221,7,X,+000186.1
20250120-225221,7,Y,+000224.5
20250120-225221,7,Z,-000078.8
20250120-225221,8,X,+000094.0
20250120-225221,8,Y,-000195.0
20250120-225221,8,Z,-000005.3
20250120-225221,9,X,-000134.0
20250120-225221,9,Y,-000080.2
20250120-225221,9,Z,+000219.0
20250120-225221,10,X,+000365.1
20250120-225221,10,Y,-000013.6
20250120-225221,10,Z,+000074.8
20250120-225221,11,Y,+763721.2
20250120-225221,11,Z,-000039.2
20250120-225221,12,X,-000100.0
20250120-225221,12,Y,+000016.4
20250120-225221,12,Z,+000018.9
20250120-225221,13,X,-000188.1
20250120-225221,13,Y,+000082.5
20250120-225221,13,Z,-000061.3
20250120-225221,14,X,-000208.3
20250120-225221,14,Y,-000058.6
20250120-225221,14,Z,-000174.1
20250120-225221,15,X,+000043.8
20250120-225221,15,Y,-000208.6
20250120-225221,15,Z,-000042.6
20250120-225222,0,X,-000069.9
20250120-225222,0,Y,+000218.9
20250120-225222,0,Z,-000021.0
20250120-225222,1,X,-000295.8
20250120-225222,1,Y,-000069.9
20250120-225222,1,Z,-000052.4
20250120-225222,2,X,-000273.6
20250120-225222,2,Y,-000058.2
20250120-225222,2,Z,-000179.3
20250120-225222,3,Y,+839437.5
20250120-225222,3,Z,+000082.7
20250120-225222,4,X,+000147.9
20250120-225222,4,Y,+000052.4
20250120-225222,5,X,+000023.3
20250120-225222,5,Y,+000146.7
20250120-225222,5,Z,-000045.4
20250120-225222,6,X,+000103.6
20250120-225222,6,Y,+000095.5
20250120-225222,6,Z,-000270.1
20250120-225222,7,X,+000104.8
20250120-225222,7,Y,-000066.4
20250120-225222,7,Z,-000192.1
20250120-225222,8,X,-000027.9
20250120-225222,8,Z,+000213.1
20250120-225222,9,X,-000029.1
20250120-225222,9,Y,+000034.9
20250120-225222,9,Z,+000326.0
20250120-225222,10,X,-000036.1
20250120-225222,10,Y,+000095.5
20250120-225222,10,Z,+000071.0
20250120-225222,11,Y,+839437.5
20250120-225222,11,Z,+000080.3
20250120-225222,12,X,-000052.4
20250120-225222,12,Y,-000096.6
20250120-225222,12,Z,+000140.9
20250120-225222,13,X,-000119.9
20250120-225222,13,Y,-000064.0
20250120-225222,13,Z,-000038.4
20250120-225222,14,X,-000248.0
20250120-225222,14,Y,-000040.8
20250120-225222,15,X,-000051.2
20250120-225222,15,Y,-000170.0
20250120-225222,15,Z,-000062.9
20250120-225222,0,X,+000144.4
20250120-225222,0,Y,-000139.7
20250120-225222,0,Z,+000218.9
20250120-225222,1,X,-000117.6
20250120-225222,1,Y,-000032.6
20250120-225222,1,Z,-000059.4
20250120-225222,2,X,-000014.0
20250120-225222,2,Y,+000118.8
20250120-225222,2,Z,-000089.7
20250120-225222,3,Y,+915750.0
20250120-225222,3,Z,+000213.1
20250120-225222,4,X,+000095.5
20250120-225222,4,Y,+000083.8
20250120-225222,4,Z,-000052.4
20250120-225222,5,X,+000048.9
20250120-225222,5,Y,+000110.6
20250120-225222,5,Z,-000113.0
20250120-225222,6,X,+000121.1
20250120-225222,6,Y,-000080.3
20250120-225222,6,Z,+000072.2
20250120-225222,7,X,+000194.5
20250120-225222,7,Y,+000085.0
20250120-225222,7,Z,-000224.7
20250120-225222,8,X,+000132.7
20250120-225222,8,Y,+000166.5
20250120-225222,8,Z,+000220.1
20250120-225222,9,X,-000149.0
20250120-225222,9,Y,-000096.6
20250120-225222,9,Z,+000036.1
20250120-225222,10,X,+000068.7
20250120-225222,10,Y,+000024.5
20250120-225222,10,Z,-000107.1
20250120-225222,11,Y,+915750.0
20250120-225222,11,Z,+000079.2
20250120-225222,12,X,+000352.8
20250120-225222,12,Y,+000116.4
20250120-225222,12,Z,-000018.6
20250120-225222,13,X,-000165.3
20250120-225222,13,Y,+000133.9
20250120-225222,13,Z,-000131.6
20250120-225222,14,X,-000067.5
20250120-225222,14,Y,+000073.4
20250120-225222,14,Z,-000144.4
20250120-225222,15,X,+000059.4
20250120-225222,15,Y,-000158.4
20250120-225222,15,Z,-000057.1
20250120-225222,0,X,+000239.9
20250120-225222,0,Y,+000116.4
20250120-225222,0,Z,-000030.3
20250120-225222,1,X,-000136.2
20250120-225222,1,Y,+000025.6
20250120-225222,1,Z,-000003.5
20250120-225222,2,Y,+000008.2
20250120-225222,2,Z,-000170.0
20250120-225222,3,Y,+992062.5
20250120-225222,3,Z,+000525.2
20250120-225222,4,X,+000040.8
20250120-225222,4,Y,+000145.6
20250120-225222,4,Z,-000008.2
20250120-225222,5,X,-000051.2
20250120-225222,5,Y,-000045.4
20250120-225222,5,Z,-000179.3
20250120-225222,6,X,+000052.4
20250120-225222,6,Y,+000124.6
20250120-225222,6,Z,-000266.7
20250120-225222,7,X,+000071.0
20250120-225222,7,Y,+000012.8
20250120-225222,7,Z,-000021.0
20250120-225222,8,X,-000103.6
20250120-225222,8,Y,-000007.0
20250120-225222,8,Z,+000193.3
20250120-225222,9,X,-000206.1
20250120-225222,9,Y,+000019.8
20250120-225222,9,Z,+000099.0
20250120-225222,10,X,+000123.4
20250120-225222,10,Y,+000196.8
20250120-225222,10,Z,+000004.7
20250120-225222,11,Y,+992062.5
20250120-225222,11,Z,-000048.9
20250120-225222,12,X,+000082.7
20250120-225222,12,Y,-000050.1
20250120-225222,12,Z,+000005.8
20250120-225222,13,X,-000220.1
20250120-225222,13,Y,+000128.1
20250120-225222,13,Z,-000055.9
20250120-225222,14,X,-000262.0
20250120-225222,14,Y,+000149.0
20250120-225222,14,Z,+000030.3
20250120-225222,15,X,+000082.7
20250120-225222,15,Y,-000257.3
20250120-225222,15,Z,-000269.0
20250120-225222,0,X,+000232.9
20250120-225222,0,Y,+000487.9
20250120-225222,0,Z,+000223.6
20250120-225222,1,X,+001283.2
20250120-225222,1,Y,-001438.1
20250120-225222,1,Z,+000300.4
20250120-225222,2,X,+000096.6
20250120-225222,2,Y,-000476.3
20250120-225222,2,Z,-000712.6
20250120-225222,3,Y,+1030814.9
20250120-225222,3,Z,+001337.9
20250120-225222,4,X,+000271.3
20250120-225222,4,Y,-002106.5
20250120-225222,4,Z,-000308.6
20250120-225222,5,X,+000456.5
20250120-225222,5,Y,+000780.2
20250120-225222,5,Z,-000949.0
20250120-225222,6,X,+000875.7
20250120-225222,6,Y,+000092.0
20250120-225222,6,Z,+000685.9
20250120-225222,7,X,-000621.8
20250120-225222,7,Y,+001060.8
20250120-225222,7,Z,+000344.7
20250120-225222,8,X,+000116.4
20250120-225222,8,Y,-000161.9
20250120-225222,8,Z,+000109.5
20250120-225222,9,X,-001470.7
20250120-225222,9,Y,+000582.2
20250120-225222,9,Z,-000085.0
20250120-225222,10,X,-001018.9
20250120-225222,10,Y,+000336.5
20250120-225222,10,Z,+000653.2
20250120-225222,11,Y,+1030814.9
20250120-225222,11,Z,+000010.4
20250120-225222,12,X,+000039.6
20250120-225222,12,Y,+000157.2
20250120-225222,12,Z,+000893.1
20250120-225222,13,X,+000446.0
20250120-225222,13,Y,-000276.0
20250120-225222,13,Z,+000284.1
20250120-225222,14,X,+000902.4
20250120-225222,14,Y,-000704.5
20250120-225222,14,Z,+000234.1
20250120-225222,15,X,-001864.3
20250120-225222,15,Y,+000395.9
20250120-225222,15,Z,+000225.9
20250120-225223,0,X,+000192.7
20250120-225223,0,Y,+000024.2
20250120-225223,0,Z,+000024.8
20250120-225223,1,X,-000229.7
20250120-225223,1,Y,-000064.7
20250120-225223,1,Z,+000092.2
20250120-225223,2,X,-000009.8
20250120-225223,2,Y,-000023.2
20250120-225223,2,Z,-000275.0
20250120-225223,3,Y,+1068971.2
20250120-225223,3,Z,+000561.9
20250120-225223,4,X,+000169.6
20250120-225223,4,Y,-000006.8
20250120-225223,4,Z,+000126.7
20250120-225223,5,X,+000133.5
20250120-225223,5,Y,+000168.6
20250120-225223,5,Z,-000162.4
20250120-225223,6,X,+000134.0
20250120-225223,6,Y,+000073.1
20250120-225223,6,Z,+000211.5
20250120-225223,7,X,+000167.2
20250120-225223,7,Y,-000090.2
20250120-225223,7,Z,-000094.2
20250120-225223,8,X,-000012.5
20250120-225223,8,Y,-000027.0
20250120-225223,8,Z,+000103.5
20250120-225223,9,X,-000012.1
20250120-225223,9,Y,-000164.2
20250120-225223,9,Z,+000221.4
20250120-225223,10,X,+000196.0
20250120-225223,10,Y,+000083.4
20250120-225223,10,Z,+000050.0
20250120-225223,11,Y,+1068971.2
20250120-225223,11,Z,+000042.4
20250120-225223,12,X,+000033.7
20250120-225223,12,Y,-000023.8
20250120-225223,12,Z,-000111.2
20250120-225223,13,X,-000164.4
20250120-225223,13,Y,+000133.3
20250120-225223,13,Z,-000025.8
20250120-225223,14,X,-000092.4
20250120-225223,14,Y,+000110.5
20250120-225223,14,Z,-000142.1
20250120-225223,15,X,+000150.2
20250120-225223,15,Y,+000010.3
20250120-225223,15,Z,-000055.6
20250120-225223,0,X,-000010.1
20250120-225223,0,Y,+000055.9
20250120-225223,0,Z,-000036.1
20250120-225223,1,X,-000087.7
20250120-225223,1,Y,-000063.7
20250120-225223,1,Z,-000113.0
20250120-225223,2,X,-000041.5
20250120-225223,2,Y,+000040.4
20250120-225223,2,Z,-000219.3
20250120-225223,3,Y,+1221000.0
20250120-225223,3,Z,+000147.9
20250120-225223,4,X,+000044.6
20250120-225223,4,Y,+000064.8
20250120-225223,4,Z,-000086.6
20250120-225223,5,X,+000006.6
20250120-225223,5,Y,+000067.1
20250120-225223,5,Z,-000140.1
20250120-225223,6,X,-000076.1
20250120-225223,6,Y,+000116.8
20250120-225223,7,X,+000126.1
20250120-225223,7,Y,-000065.6
20250120-225223,7,Z,-000161.9
20250120-225223,8,X,+000051.2
20250120-225223,8,Y,-000011.6
20250120-225223,8,Z,+000217.0
20250120-225223,9,X,-000094.3
20250120-225223,9,Y,-000095.9
20250120-225223,9,Z,+000184.8
20250120-225223,10,X,+000071.0
20250120-225223,10,Y,+000107.5
20250120-225223,10,Z,+000045.4
20250120-225223,11,Y,+1221000.0
20250120-225223,11,Z,+000086.2
20250120-225223,12,X,+000160.7
20250120-225223,12,Y,+000060.2
20250120-225223,12,Z,+000026.8
20250120-225223,13,X,-000114.1
20250120-225223,13,Y,-000020.2
20250120-225223,13,Z,-000078.0
20250120-225223,14,X,-000050.1
20250120-225223,14,Y,+000036.1
20250120-225223,14,Z,-000024.8
20250120-225223,15,X,+000045.8
20250120-225223,15,Y,-000120.3
20250120-225223,15,Z,-000117.2
20250120-225223,0,X,+000307.4
20250120-225223,0,Y,+000562.4
20250120-225223,0,Z,-000223.6
20250120-225223,1,X,-001101.6
20250120-225223,1,Y,-000320.2
20250120-225223,1,Z,+000896.6
20250120-225223,2,X,+001438.1
20250120-225223,2,Y,+000269.0
20250120-225223,2,Z,-000936.2
20250120-225223,3,Y,+1336064.9
20250120-225223,3,Z,+000592.7
20250120-225223,4,X,-000026.8
20250120-225223,4,Y,-000392.4
20250120-225223,4,Z,+002150.7
20250120-225223,5,X,-000065.2
20250120-225223,5,Y,+000705.6
20250120-225223,5,Z,-000203.8
20250120-225223,6,X,+000055.9
20250120-225223,6,Y,-001174.9
20250120-225223,6,Z,+000462.3
20250120-225223,7,X,-000621.8
20250120-225223,7,Y,+000539.1
20250120-225223,7,Z,+000046.6
20250120-225223,8,X,+000489.1
20250120-225223,8,Y,+000807.0
20250120-225223,8,Z,-000859.4
20250120-225223,9,X,+000168.8
20250120-225223,9,Y,-000088.5
20250120-225223,9,Z,+000064.0
20250120-225223,10,X,-001093.4
20250120-225223,10,Y,-000930.4
20250120-225223,10,Z,-000241.0
20250120-225223,11,Y,+1336064.9
